cycle,avg_attention,avg_performance,is_break,high_attention_count,0,,,
580,0.8,1,FALSE,25,,,,
581,0.78,1,FALSE,25,,,,
582,0.76,1,FALSE,25,,,,
583,0.74,1,FALSE,25,,,,
584,0.72,1,FALSE,25,,,,
585,0.7,1,FALSE,0,,,,
586,0.68,1,FALSE,0,,,,
587,0.66,1,FALSE,0,,,,
588,0.64,1,FALSE,0,,,,
589,0.62,1,FALSE,0,,,,
590,0.6,1,FALSE,0,,,,
591,0.58,1,FALSE,0,,,,
592,0.56,1,FALSE,0,,,,
593,0.54,1,FALSE,0,,,,
594,0.52,1,FALSE,0,,,,
595,0.5,1,FALSE,0,,,,
596,0.48,1,FALSE,0,,,,
597,0.46,1,FALSE,0,,,,
598,0.44,1,FALSE,0,,,,
599,0.42,1,FALSE,0,,,,
600,0.4,1,TRUE,0,,,,
601,0.45,1,TRUE,0,,,,
602,0.5,1,TRUE,0,,,,
603,0.55,1,TRUE,0,,,,
604,0.6,1,TRUE,0,,,,
605,0.65,1,TRUE,0,,,,
606,0.7,1,TRUE,0,,,,
607,0.75,1,TRUE,25,,,,
608,0.8,1,TRUE,25,,,,
609,0.85,1,TRUE,25,,,,
610,0.9,1,TRUE,25,,,,
611,0.95,1,TRUE,25,,,,
612,1,1,TRUE,25,,,,
613,1,1,TRUE,25,,,,
614,1,1,TRUE,25,,,,
615,1,1,TRUE,25,,,,
616,1,1,TRUE,25,,,,
617,1,1,TRUE,25,,,,
618,1,1,TRUE,25,,,,
619,1,1,TRUE,25,,,,
620,1,1,TRUE,25,,,,
621,1,1,TRUE,25,,,,
622,1,1,TRUE,25,,,,
623,1,1,TRUE,25,,,,
624,1,1,TRUE,25,,,,
625,1,1,TRUE,25,,,,
626,1,1,TRUE,25,,,,
627,1,1,TRUE,25,,,,
628,1,1,TRUE,25,,,,
629,1,1,TRUE,25,,,,
630,1,1,FALSE,25,,,,
631,0.98,1,FALSE,25,,,,
632,0.96,1,FALSE,25,,,,
633,0.94,1,FALSE,25,,,,
634,0.92,1,FALSE,25,,,,
635,0.9,1,FALSE,25,,,,
636,0.88,1,FALSE,25,,,,
637,0.86,1,FALSE,25,,,,
638,0.84,1,FALSE,25,,,,
639,0.82,1,FALSE,25,,,,
640,0.8,1,FALSE,25,,,,
641,0.78,1,FALSE,25,,,,
642,0.76,1,FALSE,25,,,,
643,0.74,1,FALSE,25,,,,
644,0.72,1,FALSE,25,,,,
645,0.7,1,FALSE,0,,,,
646,0.68,1,FALSE,0,,,,
647,0.66,1,FALSE,0,,,,
648,0.64,1,FALSE,0,,,,
649,0.62,1,FALSE,0,,,,
650,0.6,1,FALSE,0,,,,
651,0.58,1,FALSE,0,,,,
652,0.56,1,FALSE,0,,,,
653,0.54,1,FALSE,0,,,,
654,0.52,1,FALSE,0,,,,
655,0.5,1,FALSE,0,,,,
656,0.48,1,FALSE,0,,,,
657,0.46,1,FALSE,0,,,,
658,0.44,1,FALSE,0,,,,
659,0.42,1,FALSE,0,,,,
660,0.4,1,TRUE,0,,,,
661,0.45,1,TRUE,0,,,,
662,0.5,1,TRUE,0,,,,
663,0.55,1,TRUE,0,,,,
664,0.6,1,TRUE,0,,,,
665,0.65,1,TRUE,0,,,,
666,0.7,1,TRUE,0,,,,
667,0.75,1,TRUE,25,,,,
668,0.8,1,TRUE,25,,,,
669,0.85,1,TRUE,25,,,,
670,0.9,1,TRUE,25,,,,
671,0.95,1,TRUE,25,,,,
672,1,1,TRUE,25,,,,
673,1,1,TRUE,25,,,,
674,1,1,TRUE,25,,,,
675,1,1,TRUE,25,,,,
676,1,1,TRUE,25,,,,
677,1,1,TRUE,25,,,,
678,1,1,TRUE,25,,,,
679,1,1,TRUE,25,,,,
680,1,1,TRUE,25,,,,
681,1,1,TRUE,25,,,,
682,1,1,TRUE,25,,,,
683,1,1,TRUE,25,,,,
684,1,1,TRUE,25,,,,
685,1,1,TRUE,25,,,,
686,1,1,TRUE,25,,,,
687,1,1,TRUE,25,,,,
688,1,1,TRUE,25,,,,
689,1,1,TRUE,25,,,,
690,1,1,FALSE,25,,,,
691,0.98,1,FALSE,25,,,,
692,0.96,1,FALSE,25,,,,
693,0.94,1,FALSE,25,,,,
694,0.92,1,FALSE,25,,,,
695,0.9,1,FALSE,25,,,,
696,0.88,1,FALSE,25,,,,
697,0.86,1,FALSE,25,,,,
698,0.84,1,FALSE,25,,,,
699,0.82,1,FALSE,25,,,,
700,0.8,1,FALSE,25,,,,
701,0.78,1,FALSE,25,,,,
702,0.76,1,FALSE,25,,,,
703,0.74,1,FALSE,25,,,,
704,0.72,1,FALSE,25,,,,
705,0.7,1,FALSE,0,,,,
706,0.68,1,FALSE,0,,,,
707,0.66,1,FALSE,0,,,,
708,0.64,1,FALSE,0,,,,
709,0.62,1,FALSE,0,,,,
710,0.6,1,FALSE,0,,,,
711,0.58,1,FALSE,0,,,,
712,0.56,1,FALSE,0,,,,
713,0.54,1,FALSE,0,,,,
714,0.52,1,FALSE,0,,,,
715,0.5,1,FALSE,0,,,,
716,0.48,1,FALSE,0,,,,
717,0.46,1,FALSE,0,,,,
718,0.44,1,FALSE,0,,,,
719,0.42,1,FALSE,0,,,,
720,0.4,1,TRUE,0,,,,
721,0.45,1,TRUE,0,,,,
722,0.5,1,TRUE,0,,,,
723,0.55,1,TRUE,0,,,,
724,0.6,1,TRUE,0,,,,
725,0.65,1,TRUE,0,,,,
726,0.7,1,TRUE,0,,,,
727,0.75,1,TRUE,25,,,,
728,0.8,1,TRUE,25,,,,
729,0.85,1,TRUE,25,,,,
730,0.9,1,TRUE,25,,,,
731,0.95,1,TRUE,25,,,,
732,1,1,TRUE,25,,,,
733,1,1,TRUE,25,,,,
734,1,1,TRUE,25,,,,
735,1,1,TRUE,25,,,,
